Program,Slot,Date,Start Time,End Time,Course Code,Course Title,Students,Faculty,Faculty_Full,Faculty_Code,Start_Time,End_Time,Exam_Location
D,Slot - K,2025-08-15,09:00:00,10:30:00,CSE265.15,Algorithm,34,[AP] Md. Anower Perves,Md. Anower Perves,AP,09:00:00,10:30:00,D - Slot - K
D,Slot - K,2025-08-15,09:00:00,10:30:00,CSE343.8,Computer Architecture,21,[KAZ] Kazi Shahrier Rafid,Kazi Shahrier Rafid,KAZ,09:00:00,10:30:00,D - Slot - K
D,Slot - K,2025-08-15,09:00:00,10:30:00,EEE181.16,Electrical Circuits Design I,37,[ADMR] Adib Md. Ridwan,Adib Md. Ridwan,ADMR,09:00:00,10:30:00,D - Slot - K
D,Slot - K,2025-08-15,09:00:00,10:30:00,EEE181.18,Electrical Circuits Design I,28,[MDSM] Md. Shanian Moed,Md. Shanian Moed,MDSM,09:00:00,10:30:00,D - Slot - K
D,Slot - K,2025-08-15,09:00:00,10:30:00,ENG101.37,Basic English Skills,32,[MSS] Surya Akhter Sumona,Surya Akhter Sumona,MSS,09:00:00,10:30:00,D - Slot - K
D,Slot - K,2025-08-15,09:00:00,10:30:00,MAT241.16,Complex Variables and Transforms (Laplace & Fourier),40,[DKAM] Dr. Kh. Abdul Maleque,Dr. Kh. Abdul Maleque,DKAM,09:00:00,10:30:00,D - Slot - K
C,Slot - K,2025-08-15,09:00:00,10:30:00,CSE341.2,Computer Networking,20,[AHQ] Mohammad Ashraful Hoque,Mohammad Ashraful Hoque,AHQ,09:00:00,10:30:00,C - Slot - K
C,Slot - K,2025-08-15,09:00:00,10:30:00,CSE341.3,Computer Networking,19,[AHQ] Mohammad Ashraful Hoque,Mohammad Ashraful Hoque,AHQ,09:00:00,10:30:00,C - Slot - K
C,Slot - K,2025-08-15,09:00:00,10:30:00,CSE341.7,Computer Networking,20,[AHQ] Mohammad Ashraful Hoque,Mohammad Ashraful Hoque,AHQ,09:00:00,10:30:00,C - Slot - K
C,Slot - K,2025-08-15,09:00:00,10:30:00,EEE181.7,Electrical Circuits Design I,41,[YAM] Md. Bin Yeamin,Md. Bin Yeamin,YAM,09:00:00,10:30:00,C - Slot - K
C,Slot - K,2025-08-15,09:00:00,10:30:00,EEE181.8,Electrical Circuits Design I,37,[YAM] Md. Bin Yeamin,Md. Bin Yeamin,YAM,09:00:00,10:30:00,C - Slot - K
C,Slot - K,2025-08-15,09:00:00,10:30:00,ETE281.10,Communication Theory,39,[FAFA] Faika Fairuj Preotee,Faika Fairuj Preotee,FAFA,09:00:00,10:30:00,C - Slot - K
C,Slot - K,2025-08-15,09:00:00,10:30:00,ETE281.11,Communication Theory,40,[FAFA] Faika Fairuj Preotee,Faika Fairuj Preotee,FAFA,09:00:00,10:30:00,C - Slot - K
C,Slot - K,2025-08-15,09:00:00,10:30:00,ETE281.14,Communication Theory,41,[SUSN] Sumaiya Salekin,Sumaiya Salekin,SUSN,09:00:00,10:30:00,C - Slot - K
